norm,material_a,material_b,mu,quelle
din_en_17879_2024-08,holz,holz,0.4,DIN EN 17879:2024-08
din_en_13814_2005-06,holz,holz,0.4,DIN EN 13814:2005-06
din_en_17879_2024-08,holz,stahl,0.4,DIN EN 17879:2024-08
din_en_13814_2005-06,holz,stahl,0.4,DIN EN 13814:2005-06
din_en_17879_2024-08,holz,beton,0.6,DIN EN 17879:2024-08
din_en_13814_2005-06,holz,beton,0.6,DIN EN 13814:2005-06
din_en_17879_2024-08,stahl,holz,0.4,DIN EN 17879:2024-08
din_en_13814_2005-06,stahl,holz,0.4,DIN EN 13814:2005-06
din_en_17879_2024-08,stahl,stahl,0.1,DIN EN 17879:2024-08
din_en_13814_2005-06,stahl,stahl,0.1,DIN EN 13814:2005-06
din_en_17879_2024-08,stahl,beton,0.2,DIN EN 17879:2024-08
din_en_13814_2005-06,stahl,beton,0.2,DIN EN 13814:2005-06
din_en_17879_2024-08,beton,holz,0.6,DIN EN 17879:2024-08
din_en_13814_2005-06,beton,holz,0.6,DIN EN 13814:2005-06
din_en_17879_2024-08,beton,stahl,0.2,DIN EN 17879:2024-08
din_en_13814_2005-06,beton,stahl,0.2,DIN EN 13814:2005-06
din_en_17879_2024-08,beton,beton,0.5,DIN EN 17879:2024-08
din_en_13814_2005-06,beton,beton,0.5,DIN EN 13814:2005-06
din_en_17879_2024-08,ton,holz,0.25,DIN EN 17879:2024-08
din_en_13814_2005-06,ton,holz,0.25,DIN EN 13814:2005-06
din_en_17879_2024-08,ton,stahl,0.2,DIN EN 17879:2024-08
din_en_13814_2005-06,ton,stahl,0.2,DIN EN 13814:2005-06
din_en_17879_2024-08,ton,beton,0.25,DIN EN 17879:2024-08
din_en_13814_2005-06,ton,beton,0.25,DIN EN 13814:2005-06
din_en_17879_2024-08,lehm,holz,0.4,DIN EN 17879:2024-08
din_en_13814_2005-06,lehm,holz,0.4,DIN EN 13814:2005-06
din_en_17879_2024-08,lehm,stahl,0.2,DIN EN 17879:2024-08
din_en_13814_2005-06,lehm,stahl,0.2,DIN EN 13814:2005-06
din_en_17879_2024-08,lehm,beton,0.4,DIN EN 17879:2024-08
din_en_13814_2005-06,lehm,beton,0.4,DIN EN 13814:2005-06
din_en_17879_2024-08,sand,holz,0.65,DIN EN 17879:2024-08
din_en_13814_2005-06,sand,holz,0.65,DIN EN 13814:2005-06
din_en_17879_2024-08,sand,stahl,0.2,DIN EN 17879:2024-08
din_en_13814_2005-06,sand,stahl,0.2,DIN EN 13814:2005-06
din_en_17879_2024-08,sand,beton,0.65,DIN EN 17879:2024-08
din_en_13814_2005-06,sand,beton,0.65,DIN EN 13814:2005-06
din_en_17879_2024-08,kies,holz,0.65,DIN EN 17879:2024-08
din_en_13814_2005-06,kies,holz,0.65,DIN EN 13814:2005-06
din_en_17879_2024-08,kies,stahl,0.2,DIN EN 17879:2024-08
din_en_13814_2005-06,kies,stahl,0.2,DIN EN 13814:2005-06
din_en_17879_2024-08,kies,beton,0.65,DIN EN 17879:2024-08
din_en_13814_2005-06,kies,beton,0.65,DIN EN 13814:2005-06
din_en_17879_2024-08,gummi,holz,0.6,DIN EN 17879:2024-08
din_en_17879_2024-08,gummi,stahl,0.6,DIN EN 17879:2024-08
din_en_17879_2024-08,gummi,beton,0.6,DIN EN 17879:2024-08
